uniqueid,qbikestore8,qchildschoolsame,qborough1,qbenefits04,qschooltransitto2,qschooltravelcode15,qnationoe,qridehailpurpose05,qusetravelcode14,qbenefits09,gfocusaa1_qfocusaa6_ma7,qschooltravelcode21,qsharetravelcode26,qnyc,qpreridehailcode07,gfulltime_qparttime_ma,qusetravelcode11,qwpsurveyzone07,qzipwork1,qchildrenschoolzip1,gfocusaa1_qfocusaa1_ma6,qridehail6,gfocusaa1_qfocusaa5b_ma5,qbikeride,qday1,qshare1,qbenefits14,gfocusaa1_qfocusaa4_ma3,qschooltravelcode14,qshare7,qpreridehailcode13,qbikemany,qcarpark8,gcarreduce1_qcarreduce4_ma,qchildren,qziptravel1,qridehail5,qwpsurveyzone09,qnocitibike9,qwpsurveyzone01,qreachtravel5,qsharetravelcode23,qusetravelcode26,qhispanic_other5,qzipwork5,finishtime_est,qpreridehailcode22,qzipwork2,gfocusaa1_qfocusaa4_ma6,qsharetravelcode15,qwelfare4,qschooltravelcode27,qpreridehailcode19,qsharetravelcode22,gfocusaa1_qfocusaa5b_ma8,qdisability1,qpreridehailcode18,qagecode_final1,qsmartphone,qusetravelcode21,qpreridehailcode01,qcitibike,qschooltransitto1,gfocusaa1_qfocusaa3_ma6,qwelfare3,gfocusaa1_qfocusaa5b_ma2,qpreridehailcode17,gcarreduce1_qcarreduce3_ma,qcarpark5,qusetravelcode03,gfocusaa1_qfocusaa5_ma1,qschooltransitto6,qsunrise_append,gfulltime_qfulltime_ma,qchildrenschoolzip2,qschooltransitfrom6,gfocusaa1_qfocusaa4_ma1,qusetravelcode12,qzipwork6,qagecode_final4,qwpsurveyzone08,gimprove1_qimprove1_ma,qschooltravelcode10,qsharefreq,qschooltravelcode12,qbenefits11,qsharetravelcode16,qziptravel2,qsharetravelcode18,qincome,qtimework6,gfocusaa1_qfocusaa6_ma4,qsharetravelcode09,respondent_serial,qsharepurpose11,gfocusaa1_qfocusaa1_ma7,qsharepurpose_other9,qnocitibike8,qusetravelcode08,qnocitibike_other7,qcarpark7,qusetravelcode16,qsharetravelcode24,gfocusaa1_qfocusaa6_ma5,qwpsurveyzone03,qbiketo,gfocusaa1_qfocusaa5_ma7,qcaraccess,qschooltransitto4,qusetravelcode20,qshare2,qusetravelcode07,qlanguagepref,qsharepurpose07,qdisability6,qnocitibike3,qlanguage2oe,qsafety5,qlicense,qreachtravel7,qreachtravel1,weekday_number_of_trips,qsharetravelcode11,qreachtravel6,gfocusaa1_qfocusaa2_ma1,gcarincrease1_qcarincrease3_ma,qsharetravelcode19,qtimework2,gfocusaa1_qfocusaa6_ma6,qzipwork4,qdisability8,qsharetravelcode14,gfocusaa1_qfocusaa1_ma2,qsharetravelcode13,gcarincrease1_qcarincrease1_ma,qreachtravel3,qpreridehailcode14,qridehailpurpose09,qridehailpurpose04,qschooltravelcode01,qtimework5,qeducation,qnocitibike1,gfocusaa1_qfocusaa5_ma4,qschooltravelcode13,qcaretaker,qusetravelcode06,qcitibikefreq,qschooltravelcode07,qrace
110000740, , ,1,0, , ,7, ,0,0,1, , ,7, ,1,0,1,11203, ,0,1,0,5,7,0,0,0, ,0, ,0,0, ,1, ,0,0,0,0, , ,0, , , , , ,1, ,0, , , ,0,0, ,0,2,0, ,2, ,0,1,0, , ,0,1,0, ,5:25:00 AM,1, , ,1,0, ,0,0,3, , , ,0, , , ,11, ,0, , , ,1, ,0,0, ,0,0, ,0,0,2,0,1, ,0,0,0,1, ,1,0,21,2,1, , , , , ,0, , , ,0,11203,0, ,0, , , , , , , , ,7,0,1, ,4,0, , ,2
110001368,0, ,0,0, , ,6, ,0,0,0, , ,6, ,0,0,0,99999, ,0,1,0,2,3,0,0,0, ,0, ,2, , ,1, ,0,0,0,0, , ,0, , , , , ,1, ,0, , , ,0,0, ,0,1,0, ,2, ,0,1,0, , , ,0,1, ,5:24:00 AM,1, , ,0,0, ,0,0,1, , , ,0, , , ,6, ,0, , , ,0, ,0,0, , ,0, ,0,0,1,0,3, ,0,0,0,1, ,1,1,1, ,1, , ,3, , ,0, , , ,1, ,0, ,0, , , , , , , , ,6,0,0, ,4,0, , ,3
110000871,0, ,0, , , ,1, ,0, ,0, , ,7, , ,0, , , ,0,1,0,4,2,0, ,0, ,0, ,1, , ,1, ,0, ,0, , , ,0, , , , , ,0, ,0, , , ,0,0, ,0,2,0, ,2, ,0,1,0, , , ,0,0, ,5:25:00 AM, , , ,1,0, ,0, ,2, , , , , , , ,1, ,0, , , ,0, ,0,0, , ,0, ,0, ,2,0,3, ,0,0,0,1, ,1,1,2, ,2, , ,0, , ,0, , , ,1, ,0, ,0, , , , , , , , ,3,0,0, ,4,0, , ,2
110001361, , ,0,0, ,0,2, ,0,0,0,0, ,6, ,0,0, ,11368,11368,0,1,0,5,3,0,0,1,0,0, ,0, , ,3, ,0, ,0, , , ,0, , , , , ,0, ,0,0, , ,0,0, ,0,2,0, ,2, ,0,1,0, , , ,0,0, ,5:24:00 AM,1, , ,0,0, ,0, ,2,0, ,0,0, , , ,2, ,0, , , ,0, ,0,0, , ,0, ,0, ,2,0,3, ,0,0,0,2, ,1,0,1, ,2, , ,1, , ,0, , , ,0, ,0, ,0, , , , , , ,1, ,1,0,0,0,4,0, ,0,2
110002283,0, ,1,0, ,0,9,0,0,0,0,0, ,5,0,1,0, , ,00006,1,0,0,2,6,0,0,0,0,0,0,4,0, ,5, ,0, ,0, , , ,0, , , ,1, ,1, ,0,0,0, ,0,0,0,0,1,0,0,2, ,0,1,0,0, ,0,1,1, ,5:29:00 AM, ,00006, ,0,0, ,0, ,1,0, ,0,0, , , ,11, ,0, , , ,0, ,0,0, ,0,0, ,0, ,1,0,2, ,0,0,0,1, ,1,0,1,4,1, , ,2, , ,0, , , ,0,00006,0, ,0, , , ,0,0,0,1, ,6,1,0,0,1,0, ,0,2
110002230, , ,1, , , ,1,1,0, ,1, , ,7,0, ,1, , , ,1,0,0,5,4,0, ,0, ,0,0,0,0, ,1, ,0, ,0, , , ,0, , , ,1, ,1, ,0, ,0, ,0,0,0,0,2,0,0,2, ,0,1,0,0, ,0,1,1, ,5:28:00 AM, , , ,0,0, ,0, ,2, , , , , , , ,11, ,0, , , ,0, ,0,0, ,0,0, ,0, ,2,0,2, ,0,0,0,1, ,1,0,21,5,1, , ,2, , ,1, , , ,0, ,0, ,1, , , ,0,0,0, , ,4,0,0, ,4,0, , ,1
110001938, , ,1,0, , ,1, ,0,0,1, , ,7, ,1,1,1, , ,1,1,0,5,7,0,0,1, ,0, ,0,0, ,1, ,0,0,0,0, , ,0, , , , , ,1, ,0, , , ,0,0, ,0,2,0, ,2, ,0,1,0, , ,0,1,1, ,5:26:00 AM, , , ,1,0, ,0,0,1, , , ,0, , , ,11, ,0, , , ,0, ,0,0, ,0,0, ,0,0,2,0,1, ,0,0,0,1, ,1,0,2,1,1, , , , , ,1, , , ,0,11230,0, ,1, , , , , , , , ,4,0,1, ,1,0, , ,1
110000946, , ,1, , , ,9, ,0, ,0, , ,7, , ,0, , , ,1,1,0,5,3,0, ,0, ,0, ,0, , ,1, ,0, ,0, , , ,0, , , , , ,0, ,0, , , ,0,0, ,0,2,0, ,2, ,0,1,0, , , ,0,0, ,5:25:00 AM, , , ,0,0, ,0, ,2, , , , , , , ,1, ,0, , , ,0, ,0,0, , ,0, ,0, ,2,0,3, ,0,0,0,1, ,1,0,21, ,2, , ,0, , ,0, , , ,0, ,0, ,0, , , , , , , , ,2,0,0, ,1,0, , ,2
110000887,0, ,0, , , ,1, ,0, ,1, , ,6, , ,0, , , ,0,1,0,1,2,0, ,0, ,0, ,1,0, ,1, ,0, ,0, , , ,0, , , , , ,1, ,0, , , ,0,0, ,1,1,0, ,2, ,0,0,0, , ,0,0,0, ,5:25:00 AM, , , ,0,0, ,0, ,2, , , , , , , ,2, ,0, , , ,0, ,0,0, ,0,0, ,0, ,2,0,2, ,0,0,0,1, ,1,0,2,1,1, , ,2, , ,0, , , ,0, ,0, ,1, , , , , , , , ,5,0,0, ,4,0, , ,7
110001482, , ,0, , , ,1, ,0, ,1, , ,7, , ,1, , , ,0,1,0,2,6,0, ,0, ,0, ,0,0, ,1, ,0, ,0, , , ,0, , , , , ,0, ,0, , , ,0,0, ,0,1,0, ,2, ,0,1,0, , ,0,0,1, ,5:24:00 AM, , , ,1,0, ,0, ,2, , , , , , , ,11, ,0, , , ,0, ,0,0, ,0,0, ,0, ,2,0,1, ,0,0,0,1, ,1,0,21,1,1, , ,2, , ,1, , , ,0, ,0, ,0, , , , , , , , ,3,0,0, ,4,0, , ,1
110001146, , ,1,0, , ,1, ,0,0,0, , ,7, ,0,0, ,00999, ,1,1,0,5,7,0,0,0, ,0, ,0,0, ,2, ,0, ,0, , , ,0, , , , , ,0, ,0, , , ,1,0, ,0,1,0, ,2, ,1,1,0, , ,0,0,0, ,5:24:00 AM,1, , ,1,0, ,0, ,1, , , ,0, , , ,11, ,0, , , ,0, ,0,0, ,0,0, ,0, ,2,0,1, ,0,0,0,1, ,1,0,20,2,1, , , , , ,0, , , ,0, ,0, ,0, , , , , , , , ,4,0,0, ,4,0, , ,2
110002097,0, ,1,0, , ,1, ,0,0,0, , ,6, ,1,0,0, , ,1,1,0,1,2,0,0,1, ,0, ,2, , ,1, ,0,0,0,0, , ,0, , , , , ,1, ,0, , , ,0,0, ,0,1,1, ,2, ,1,1,0, , , ,1,0, ,5:27:00 AM, , , ,1,0, ,0,0,2, , , ,0, , , ,11, ,1, , , ,0, ,0,0, , ,0, ,0,1,1,0,3, ,0,0,0,1, ,1,0,8, ,1, , ,2, , ,1, , , ,1,99999,0, ,1, , , , , , , , ,6,0,0, ,4,0, , ,1
110001085,0, ,0, , ,0,1,0,0, ,0,0, ,7,0, ,0, , ,10025,0,0,0,2,6,0, ,0,0,0,0,4,0, ,3, ,0, , , , , ,0, , , ,0, ,0, ,0,0,0, ,0,0,0,0,1,0,1,1, ,0,1,1,0, ,0,0,0, ,5:24:00 AM, ,10025, ,1,0, ,0, ,2,0, ,0, , , , ,7, ,0, , , ,0, , ,0, ,0,0, ,0, ,1,1,1, ,0,0,0,1, ,1, ,2,1,1, , ,1, , ,1, , , ,0, ,0, ,1, , , ,0,0,0,0, ,6, ,0,0,3,0,3,0,1
110001724,0, ,0,0, , ,1,0,0,0,0, , ,7,0,0,0, ,10128, ,1,0,1,3,3,0,0,0, ,0,0,2,0, ,1, ,0, ,0, , , ,0, , , ,0, ,1, ,0, ,0, ,0,0,0,0,1,0,0,2, ,1,1,1,0, ,1,1,1, ,5:25:00 AM,1, , ,0,0, ,0, ,2, , , ,0, , , ,7, ,0, , , ,0, ,0,0, ,0,0, ,0, ,2,0,1, ,0,0,0,1, ,1,0,17,1,1, , ,2, , ,0, , , ,0, ,0, ,1, , , ,0,0,0, , ,6,0,0, ,4,0, , ,1
110000657,0, ,0, , , ,1, ,0, ,0, , ,7, , ,1, , , ,1,1,0,4,7,0, ,0, ,0, ,1,0, ,1, ,0, ,0, , , ,0, , , , , ,1, ,0, , , ,0,1, ,0,1,0, ,2, ,0,1,0, , ,0,0,0, ,5:25:00 AM, , , ,0,0, ,0, ,2, , , , , , , ,5, ,0, , , ,0, ,0,0, ,0,0, ,0, ,2,0,1, ,0,0,0,1, ,0,1,21,2,1, , , , , ,0, , , ,0, ,0, ,0, , , , , , , , ,1,0,0, ,4,0, , ,1
110001859,0, ,1,0, , ,1,1,0,0,0, , ,6,0,0,1,0,10282, ,0,0,0,1,6,0,0,1, ,0,0,1,0, ,2, ,0,0,0,0, , ,0, , , ,0, ,0, ,0, ,0, ,0,0,0,1,1,0,0,2, ,0,1,0,0, ,0,0,0, ,5:26:00 AM,1, , ,0,0, ,0,0,1, , , ,0, , , ,5, ,0, , , ,0, ,0,0, ,0,0, ,0,1,2,0,2, ,0,0,0,1, ,1,0,12,1,1, , ,2, , ,1, , , ,0, ,0, ,0, , , ,0,0,0, , ,6,0,0, ,4,0, , ,1
110000148,0, ,1,0, , ,1,1,0,0,0, ,0,5,0,0,0,0,11215, ,0,0,1,1,7,1,0,0, ,0,0,2,0, ,1,0,0,0,0,1, ,0,0, , , ,0, ,1,1,0, ,0,0,0,0,0,0,1,1,0,2, ,0,1,0,0, ,0,0,1, ,5:34:00 AM,1, , ,1,1, ,0,0,2, ,1, ,0,0,0,0,6, ,1,0, ,0,0, ,0,0, ,0,0,0,1,0,1,0,1, ,0,0,0,1,0,1,1,2,1,1, , ,4,0, ,1, ,0, ,1, ,0,0,0,0, , ,0,0,0, , ,3,0,0, ,1,0, , ,2
110001185, , ,0, , , ,1, ,0, ,0, , ,6, , ,0, , , ,0,1,0,5,7,0, ,0, ,0, ,0, , ,1, ,0, ,0, , , ,0, , , , , ,0, ,0, , , ,0,0, ,0,1,0, ,2, ,0,0,0, , , ,1,1, ,5:24:00 AM, , , ,1,0, ,1, ,2, , , , , , , ,4, ,0, , , ,0, ,0,0, , ,0, ,0, ,2,0,3, ,0,0,0,1, ,1,0,21, ,2, , , , , ,0, , , ,1, ,0, ,0, , , , , , , , ,3,0,0, ,4,0, , ,2
110001981,0, ,1, , ,0,8, ,0, ,1,0, ,7, , ,0, , ,11209,1,1,0,5,1,0, ,0,0,0, ,4,0, ,5, ,0, ,0, , , ,0, , , , , ,0, ,0,0, , ,0,0, ,0,2,0, ,2, ,0,1,0, , ,0,0,1, ,5:27:00 AM, , , ,1,0, ,0, ,1,0, ,0, , , , ,10, ,0, , , ,0, ,0,0, ,0,0, ,0, ,2,0,2, ,0,0,0,1, ,1,0,20,1,2, , , , , ,0, , , ,0, ,0, ,0, , , , , , ,0, ,3,0,0,0,4,0, ,0,1
110000378, , ,0, , , ,1, ,0, ,1, , ,7, , ,0, , , ,0,1,0,5,7,0, ,0, ,0, ,0, , ,1, ,0, ,0, , , ,0, , , , , ,0, ,0, , , ,0,0, ,0,1,0, ,2, ,0,1,0, , , ,0,1, ,5:32:00 AM, , , ,0,0, ,0, ,2, , , , , , , ,11, ,0, , , ,0, ,0,0, , ,0, ,0, ,2,0,3, ,0,0,0,1, ,1,0,8, ,1, , ,2, , ,0, , , ,0, ,0, ,1, , , , , , , , ,7,0,0, ,4,0, , ,1
110001599, , ,0, , , ,1, ,0, ,1, , ,7, , ,1, , , ,1,1,0,5,1,0, ,0, ,0, ,0,0,5,1, ,0, ,0, , , ,0, , , , , ,1, ,0, , , ,0,0, ,0,1,0, ,2, ,0,1,0, ,2,0,1,0, ,5:24:00 AM, , , ,1,0, ,0, ,1, , , , , , , ,9, ,0, , , ,0, ,0,0, ,0,0, ,0, ,2,1,1, ,0,0,0,1, ,1,0,21,1,1, , , , , ,0, , , ,0, ,0, ,1, , , , , , , , ,7,0,0, ,4,0, , ,1
110000151, , ,0,0, , ,1, ,0,0,1, , ,7, ,0,0, ,00000, ,1,1,0,5,7,0,0,0, ,0, ,0,0,5,1, ,0, ,0, , , ,0, , , , , ,0, ,0, , , ,0,0, ,0,1,1, ,2, ,0,1,0, ,2,1,0,1, ,5:34:00 AM,1, , ,1,0, ,1, ,1, , , ,1, , , ,7, ,0, , , ,0, ,0,0, ,0,0, ,0, ,2,0,1, ,0,0,0,1, ,1,0,8,1,1, , ,2, , ,0, , , ,0, ,0, ,1, , , , , , , , ,7,0,0, ,4,0, , ,2
110001364,0, ,1, , , ,1,1,0, ,0, , ,7,0, ,1,0, , ,1,0,1,1,3,0, ,0, ,0,0,3,0, ,1, ,0,0,0,0, , ,0, , , ,0, ,1, ,0, ,0, ,0,0,0,0,1,0,0,2, ,0,1,1,0, ,1,0,0, ,5:24:00 AM, , , ,0,0, ,0,0,3, , , , , , , ,9, ,1, , , ,0, ,0,0, ,0,0, ,0,1,2,1,1, ,0,0,0,1, ,1,1,2,1,1, , ,1, , ,1, , , ,0, ,0, ,0, , , ,0,0,0, , ,6,0,0, ,1,0, , ,1
110000264, , ,0, , , ,3, ,0, ,0, , ,7, , ,0, , , ,0,1,0,6,7,0, ,0, ,0, ,0, , ,1, ,0, ,0, , , ,0, , , , , ,0, ,0, , , ,0,0, ,0,2,0, ,2, ,1,1,0, , , ,1,0, ,5:33:00 AM, , , ,0,0, ,0, ,2, , , , , , , ,3, ,1, , , ,0, ,0,0, , ,0, ,1, ,2,0,3, ,0,0,0,1, ,1,0,1, ,1, , , , , ,0, , , ,0, ,0, ,0, , , , , , , , ,4,0,0, ,4,0, , ,1
110000014,0, ,0,0,0,0,1, ,0,0,0,0, ,5, ,0,1,0,99999,99999,1,1,0,4,5,0,0,1,0,0, ,2,0, ,2, ,0,0,0,0, , ,0, , , , , ,1, ,0,0, , ,0,0, ,0,1,0, ,2,1,1,1,0, , ,0,0,1,0,5:39:00 AM,1, ,0,1,0, ,0,0,2,0, ,0,0, , , ,8, ,1, , , ,0, ,0,0, ,0,1, ,0,1,2,0,1,0,0,0,0,1, ,1,0,8,2,1, , , , , ,1, , , ,0, ,0, ,1, , , , , , ,1, ,7,0,0,0,3,0, ,0,1
110001833,0, ,1,0, ,0,1, ,0,0,0,0, ,7, ,0,1,0,01001,REF,0,1,0,3,6,0,0,0,0,0, ,5,0, ,2, ,0,0,0,0, , ,0, , , , , ,0, ,0,0, , ,0,0, ,0,1,0, ,2, ,0,1,0, , ,0,0,0, ,5:26:00 AM,1, , ,0,0, ,1,0,2,0, ,0,0, , , ,8, ,0, , , ,0, ,0,0, ,0,0, ,0,1,2,1,1, ,0,0,0,1, ,1,1,21,1,1, , ,2, , ,0, , , ,0, ,0, ,0, , , , , , ,0, ,3,0,0,0,3,0, ,0,1
110000866, , ,0,0, , ,2, ,0,0,1, , ,7, ,0,1,0,10457, ,1,1,0,5,2,0,0,0, ,0, ,0,0, ,1, ,0,1,0,0, , ,0, , , , , ,1, ,0, , , ,0,0, ,0,1,0, ,2, ,1,1,0, , ,0,0,0, ,5:25:00 AM,1, , ,0,0, ,1,0,5, , , ,0, , , ,5, ,0, , , ,0, ,0,0, ,0,0, ,0,0,2,1,1, ,0,0,0,1, ,1,0,1,2,1, , ,0, , ,0,2, , ,0, ,0, ,0, ,99, , , , , , ,3,0,0, ,3,0, , ,2
110001025, , ,0,0, , ,1,1,0,0,0, , ,6,0,1,0, , , ,0,0,0,5,5,0,0,0, ,0,0,0,0, ,1, ,0, ,0, , , ,0, , , ,0, ,1, ,0, ,1, ,0,0,0,0,1,0,1,2, ,0,1,0,0, ,0,1,0, ,5:24:00 AM, , , ,0,0, ,0, ,3, , , ,0, , , ,5, ,0, , , ,0, ,0,0, ,0,0, ,0, ,2,0,2, ,0,0,0,1, ,1,0,21,1,2, , ,6, , ,0, , , ,0,55555,0, ,0, , , ,0,0,0, , ,3,0,0, ,4,0, , ,1
110002289,0, ,1,0, , ,8,1,0,0,0, ,0,6,0,1,0,0,10013, ,0,0,0,5,6,0,0,0, ,0,0,4,0, ,1, ,1,0,0,0,0,0,0, , , ,0, ,0,0,0, ,0,0,0,0,0,1,1,0,0,2, ,1,1,1,1, ,0,0,1, ,5:29:00 AM,1, , ,1,0, ,0,0,4, ,7, ,0,0, ,0,10, ,1,0, ,0,0, ,0,0, ,0,0,0,0,1,2,0,2, ,0,0,0,1,0,1,0,21,1,1,0,0,2,0,0,0, ,0, ,0,00000,0,0,0,1, ,1,0,0,0, , ,6,1,0, ,4,0, , ,1
110001294, , ,1, , , ,1,1,0, ,1, , ,6,0, ,0,0, , ,1,0,1,5,3,0, ,0, ,0,0,0,0, ,1, ,0,0,0,0, , ,0, , , ,0, ,1, ,0, ,0, ,0,0,0,1,1,0,1,2, ,0,1,1,0, ,0,1,1, ,5:24:00 AM, , , ,1,0, ,0,0,1, , , , , , , ,6, ,0, , , ,0, ,0,0, ,0,0, ,0,0,2,0,2, ,0,0,0,1, ,1,0,12,1,1, , ,2, , ,1, , , ,0, ,0, ,1, , , ,0,0,0, , ,6,0,0, ,4,0, , ,1
110002258,0, ,1, , , ,1, ,0, ,1, , ,6, , ,1, , , ,0,1,0,5,4,0, ,0, ,0, ,1,0, ,2, ,0, ,0, , , ,0, , , , , ,0, ,0, , , ,0,0, ,0,1,0, ,2, ,0,1,0, , ,0,1,0, ,5:28:00 AM, , , ,0,0, ,0, ,1, , , , , , , ,4, ,0, , , ,0, ,0,0, ,0,0, ,0, ,2,1,1, ,0,0,0,1, ,1,0,21,2,1, , ,2, , ,0, , , ,0, ,0, ,0, , , , , , , , ,3,0,0, ,3,0, , ,2
110000449,0, ,1, , ,0,1,0,0, ,0,0, ,6,0, ,0, , ,11207,1,0,0,5,7,0, ,0,0,0,0,2, , ,3, ,0, ,0, , , ,0, , , ,0, ,1, ,0,0,0, ,0,0,0,0,1,0,0,2, ,0,1,0,0, , ,0,1, ,5:31:00 AM, , , ,1,0, ,1, ,2,0, ,0, , , , ,11, ,0, , , ,0, ,0,0, , ,0, ,0, ,2,0,3, ,0,0,0,1, ,0,0,1, ,1, , ,0, , ,0, , , ,0, ,0, ,0, , , ,0,0,0,1, ,6,0,0,0,1,0, ,0,2
110000744,0, ,1,0, , ,1, ,0,0,0, , ,5, ,0,0,0,10004, ,1,1,0,2,7,0,0,0, ,0, ,3, , ,1, ,0,0,0,0, , ,0, , , , , ,0, ,0, , , ,0,0, ,0,2,1, ,2, ,0,1,0, , , ,1,0, ,5:25:00 AM,1, , ,0,0, ,0,0,1, , , ,0, , , ,11, ,1, , , ,0, ,0,0, , ,0, ,0,1,1,1,3, ,0,0,0,1, ,1,1,21, ,1, , , , , ,1, , , ,1, ,0, ,1, , , , , , , , ,6,0,0, ,1,0, , ,1
110001631, , ,0, , , ,7, ,0, ,1, , ,6, , ,0, , , ,0,1,0,5,2,0, ,0, ,0, ,0, , ,1, ,0, ,0, , , ,0, , , , , ,0, ,0, , , ,0,0, ,0,1,0, ,2, ,0,1,0, , , ,1,0, ,5:25:00 AM, , , ,0,0, ,0, ,1, , , , , , , ,11, ,0, , , ,0, ,0,0, , ,0, ,0, ,2,0,3, ,0,0,0,1, ,1,0,21, ,2, , ,1, , ,0, , , ,0, ,0, ,1, , , , , , , , ,3,0,0, ,4,0, , ,2
110001780, , ,1, , , ,1, ,0, ,1, , ,7, , ,0, , , ,1,1,0,5,5,0, ,0, ,0, ,0, , ,1, ,0, ,0, , , ,0, , , , , ,1, ,0, , , ,0,0, ,0,2,0, ,2, ,1,1,0, , , ,1,0, ,5:25:00 AM, , , ,0,0, ,0, ,4, , , , , , , ,4, ,0, , , ,0, ,0,1, , ,0, ,0, ,2,1,3, ,0,0,0,1, ,1,0,21, ,2, , ,0, , ,0, , , ,0, ,0, ,0, , , , , , , , ,6,0,0, ,4,1, , ,2
110001435, , ,0,0, , ,1, ,0,0,0, , ,7, ,0,0, , , ,0,1,0,5,5,0,0,0, ,0, ,0,0, ,1, ,0, ,0, , , ,0, , , , , ,0, ,0, , , ,1,0, ,0,2,0, ,2, ,0,1,0, , ,1,0,1, ,5:24:00 AM,0, , ,0,0, ,0, ,1, , , ,0, , , ,9, ,1, , , ,0, ,0,0, ,0,0, ,0, ,2,0,2, ,0,0,0,1, ,1,0,2,2,1, , ,2, , ,1, , , ,0, ,0, ,0, , , , , , , , ,7,0,0, ,4,0, , ,1
110001328,0, ,1, ,0,0,8, ,0, ,0,0, ,7, , ,0,0, ,11219,0,1,0,5,3,0, ,0,0,0, ,3, , ,5, ,0,0,0,0, , ,0, , , , , ,1, ,0,0, , ,0,0, ,0,2,0, ,2,1,0,1,0, , , ,1,0,0,5:24:00 AM, , ,0,0,0, ,1,0,2,0, ,0, , , , ,11, ,0, , , ,0, ,0,0, , ,0, ,0,0,2,0,3,0,0,0,0,1, ,1,0,1, ,2, , ,3, , ,0, , , ,0, ,0, ,0, , , , , , ,1, ,6,0,0,0,3,0, ,0,1
110000437, , ,0,0, , ,1, ,0,0,0, , ,2, ,1,1,0, , ,0,1,0,5,3,0,0,0, ,0, ,0,0, ,2, ,0,0,0,0, , ,0, , , , , ,0, ,0, , , ,0,0, ,0,2,0, ,2, ,0,1,0, , ,0,0,1, ,5:31:00 AM, , , ,1,0, ,0,0,1, , , ,0, , , ,6, ,1, , , ,0, ,0,0, ,0,0, ,0,0,2,0,1, ,0,0,0,1, ,1,0,1,1,1, , ,2, , ,1, , , ,0,10314,0, ,1, , , , , , , , ,7,0,0, ,1,0, , ,1
110001448,0, ,0, , , ,1,0,0, ,1, , ,5,0, ,0, , , ,0,0,0,5,5,0, ,0, ,0,0,4, , ,1, ,0, ,0, , , ,0, , , ,0, ,0, ,0, ,0, ,0,0,1,1,1,0,0,2, ,0,1,0,0, , ,1,0, ,5:24:00 AM, , , ,0,0, ,0, ,1, , , , , , , ,1, ,0, , , ,1, ,0,0, , ,0, ,0, ,2,1,3, ,0,0,0,1, ,1,0,11, ,1, , ,2, , ,0, , , ,0, ,0, ,0, , , ,0,0,0, , ,4,0,0, ,4,0, , ,1
110001181, , ,1, ,0,0,8, ,0, ,0,0, ,5, , ,0, , ,11213,0,1,0,5,7,0, ,0,0,0, ,0,0, ,5, ,0, ,0, , , ,0, , , , , ,1, ,0,0, , ,0,0, ,1,1,0, ,2,1,1,1,0, , ,0,0,0,0,5:24:00 AM, , ,0,0,0, ,0, ,1,0, ,0, , , , ,1, ,0, , , ,0, ,0,0, ,0,0, ,0, ,2,0,2,0,0,0,0,1, ,1,0,11,3,2, , , , , ,0, , , ,0, ,0, ,0, , , , , , ,1, ,3,0,1,0,4,0, ,0,1
110001501, , ,1, , , ,2, ,0, ,0, , ,7, , ,0, , , ,0,1,1,5,6,0, ,0, ,0, ,0, , ,1, ,0, ,0, , , ,0, , , , , ,0, ,0, , , ,0,0, ,0,2,0, ,2, ,0,0,0, , , ,0,0, ,5:24:00 AM, , , ,0,0, ,0, ,2, , , , , , , ,1, ,0, , , ,0, ,0,0, , ,0, ,0, ,2,0,3, ,0,0,0,2, ,0,0,21, ,2, , ,1, , ,0, , , ,0, ,0, ,1, , , , , , , , ,3,0,0, ,3,0, , ,6
110001170, , ,0,0, , ,1,0,0,0,1, , ,6,0,0,0,0,10467, ,0,0,0,5,7,0,0,0, ,0,0,0, , ,1, ,0,1,0,0, , ,0, , , ,0, ,1, ,0, ,0, ,0,0,0,0,1,0,0,2, ,0,1,0,0, , ,1,0, ,5:24:00 AM,1, , ,0,0, ,0,0,2, , , ,0, , , ,3, ,0, , , ,0, ,0,0, , ,0, ,0,0,2,0,3, ,0,0,0,1, ,1,0,7, ,2, , , , , ,0, , , ,0, ,0, ,1, , , ,0,0,0, , ,6,0,0, ,1,0, , ,2
110002103, , ,1, , , ,1,1,0, ,1, , ,7,0, ,0, , , ,1,0,0,5,2,0, ,0, ,0,0,0, , ,1, ,0, ,0, , , ,0, , , ,0, ,1, ,0, ,0, ,0,0,0,0,1,0,0,2, ,0,1,0,1, , ,1,1, ,5:27:00 AM, , , ,0,0, ,0, ,2, , , , , , , ,4, ,0, , , ,0, ,0,0, , ,0, ,0, ,2,0,3, ,0,0,0,1, ,1,0,21, ,1, , ,1, , ,0, , , ,0, ,0, ,0, , , ,0,0,0, , ,4,0,0, ,4,0, , ,2
110001469, , ,0, , , ,2, ,0, ,0, , ,6, , ,0, , , ,1,1,1,3,5,0, ,1, ,0, ,0, , ,1, ,0, ,0, , , ,0, , , , , ,0, ,0, , , ,0,0, ,0,2,0, ,2, ,1,0,0, , , ,1,0, ,5:24:00 AM, , , ,0,0, ,0, ,3, , , , , , , ,1, ,0, , , ,0, ,0,0, , ,0, ,1, ,2,0,5, ,0,0,0,2, ,0,0,1, ,2, , ,0, , ,0, , , ,0, ,0, ,0, , , , , , , , ,2,0,0, ,2,0, , ,2
