q0_dbn,q17_c12_r1,q16_c9_r2,q15_c4_r3,q13_c6_r1,q17_c12_r3,q37_4,q27_r4_c1,q15_c5_r1,q13_c5_r4,q27_r3_c4,q14_c5_r2,q20_1,q8_r2_c2,q29_1,q35_3,q24_r3_c4,q32_4,q38_r3_c1,q25_r3_c3,q11_r2_c3,q42_r1_c2,q17_c4_r4,q11_r1_c3,q25_r1_c3,q14_c2_r3,q19_c1_r4,q15_c10_r4,q21_r3_c3,q25_r6_c4,q27_r6_c4,q14_c10_r2,q24_r4_c3,q13_c3_r1,q13_c6_r2,q13_c9_r1,q9_4,q24_r1_c2,q29_5,q26_r4_c2,q16_c12_r4,q21_r4_c3,q27_r3_c3,q27_r2_c3,q17_c5_r1,q14_c8_r1,q27_r4_c2,q28_5,q26_r4_c1,q24_r5_c4,q25_r5_c2,q21_r6_c2,q38_r6_c1,q13_c11_r3,q17_c6_r1,q13_c4_r2,q11_r3_c4,q10_r5_c1,q26_r5_c1,q13_c3_r3,q11_r3_c3,q8_r4_c2,q27_r3_c1,q9_16,q26_r4_c3,q23_4,q43_7,q13_c7_r1,q14_c9_r2,q16_c9_r4,q16_c3_r1,q26_r5_c2,q17_c2_r4,q38_r1_c1,q14_c9_r3,q43_9,q34_r5_c1,q15_c8_r4,q25_r1_c1,q14_c1_r3,q24_r4_c2,q16_c6_r2,q11_r3_c1,q43_2,q28_3,q22_r2_c2,q26_r5_c3,q15_c4_r2,q14_c1_r4,q14_c4_r3,q4_2,q15_c4_r1,q25_r6_c3,q15_c10_r3,q13_c1_r4,q14_c6_r1,q43_8,q14_c13_r1,q27_r5_c1,q14_c8_r2,q34_r4_c2,q14_c4_r4,q16_c9_r1,q16_c13_r2,q24_r4_c1,q17_c8_r2,q24_r5_c3,q9_3,q42_r1_c7,q24_r6_c2,q16_c9_r3,q10_r4_c2,q9_18,q8_r5_c2,q14_c4_r2,q16_c5_r1,q17_c11_r3,q21_r6_c4,q17_c7_r3,q17_c7_r1,q16_c11_r1,q9_20,q10_r3_c2,q21_r4_c1,q31_1,q14_c10_r3,q41_4,q16_c7_r3,q17_c7_r4,q38_r2_c2,q14_c10_r4,q16_c11_r2,q15_c7_r2,q15_c11_r3,q16_c4_r1,q26_r3_c4,q16_c13_r1,q16_c12_r2,q14_c11_r4,q27_r1_c3,q17_c10_r3,q9_19,q13_c6_r3,q12_c1_r2,q21_r1_c3,q9_12,q22_r4_c1,q39_1,q26_r1_c1,q41_3,q25_r2_c3,q14_c12_r1,q16_c12_r1,q24_r3_c2,q21_r5_c4,q28_2,q9_11,q14_c11_r2,q15_c5_r2,q31_3,q13_c8_r1,q1_1,q19_c1_r3,q9_14,q13_c2_r1,q14_c12_r2,q16_c3_r3,q3_2,q15_c8_r2,q16_c2_r1,q15_c11_r4,q34_r5_c2,q15_c1_r4,q26_r5_c4,q33_1,q38_r3_c2,q16_c10_r2,q14_c10_r1,q15_c1_r3,q21_r2_c1,q14_c11_r1,q16_c2_r2,q17_c11_r1,q22_r1_c2,q38_r2_c1,q17_c4_r1,q20_2,q10_r2_c1,q17_c4_r3,q15_c8_r3,q17_c5_r3,q6_2,q33_4,q26_r2_c2,q21_r1_c4,q29_3,q17_c6_r2,q14_c2_r2,q16_c10_r3,q16_c8_r3,q22_r5_c1,q14_c11_r3,q13_c2_r3,q17_c1_r4,q14_c2_r4,q13_c8_r4,q15_c12_r4,q5_2,q9_5,q14_c9_r1,q32_3,q13_c6_r4,q16_c10_r1,q13_c8_r3,q9_22,q27_r3_c2,q21_r3_c2,q15_c7_r4,q15_c6_r4
19K345,,,40.0,,,Shadow Box Theatre Grant - Puppet Making Workshops for Parents & their Children in Grade K - 5,0,20.0,30.0,0,20.0,0,1.0,,1,0,1-6 hrs,6.0,0,1,,40.0,1,0,40.0,,,0,0,0,,0,25.0,,,0,0,1-6 hrs,0,,0,0,0,30.0,,0,1.0,0,0,0,0,3.0,,,25.0,0,0,0,40.0,1,0.0,0,1,0,,1,,,,20.0,0,45.0,1.0,,0,0,,0,40.0,0,30.0,0,1,0.0,0,0,25.0,30.0,40.0,1,20.0,0,,30.0,,1,,0,,1,30.0,,,0,,0,0,3.0,0,,0,1,1.0,20.0,20.0,,1,,,,0,0,0,0.0,,0,,,6.0,,,,,25.0,0,,,,0,,0,,25.0,0,1,0,1,0,0,0,,,0,1,0.0,1,,25.0,5.0,,Dianna,,0,25.0,,40.0,1,,20.0,,1,35.0,0,0,4.0,,,40.0,0,,25.0,,0,9.0,30.0,0,0,50.0,,45.0,0.0,0,0,1,,,20.0,,,0,,40.0,40.0,30.0,,,0,0,,1-6 hrs,,,,1,0,0,,
15K094,,0.0,0.0,1800.0,,0,0,1800.0,1800.0,0,0.0,0,0.0,31+ hrs,1,0,,3.0,0,0,,1800.0,0,0,0.0,,,0,0,0,1800.0,0,0.0,18000.0,,0,0,31+ hrs,0,,0,0,0,1800.0,1800.0,0,2.0,0,0,0,0,0.0,,0.0,0.0,0,0,0,0.0,0,1.0,0,1,0,,1,1800.0,1800.0,0.0,0.0,0,0.0,2.0,0.0,1,0,1800.0,0,0.0,0,0.0,0,1,2.0,0,0,0.0,1800.0,0.0,1,0.0,0,,1800.0,0.0,1,,0,0.0,1,1800.0,1800.0,,0,0.0,0,0,50.0,0,0.0,0,1,0.0,0.0,0.0,,1,0.0,0.0,,0,0,1,0.0,0.0,0,0.0,1800.0,0.0,1800.0,,1800.0,,1800.0,0,,,,0,0.0,0,0.0,1800.0,1,0,0,1,0,0,0,,,0,1,0.0,1,,0.0,0.0,0.0,Scott,,0,0.0,,0.0,1,1800.0,0.0,,1,1800.0,0,0,0.0,0.0,0.0,0.0,0,,1800.0,,0,2.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,31+ hrs,1800.0,0.0,0.0,0.0,0,,0.0,1800.0,0.0,1800.0,,0,0,0.0,,0.0,0.0,0.0,0,0,0,1800.0,1800.0
11X144,,,,,,0,0,,,0,,0,0.0,,0,0,1-6 hrs,0.0,0,0,,,0,0,,12.0,,0,0,0,,0,,,,0,0,24-30 hrs,0,,0,0,0,,,0,1.0,0,0,0,0,,,,,0,0,0,,0,0.0,0,0,0,,1,,,,,0,,1.0,,1,0,,0,,0,,0,1,1.0,1,0,,,,1,,0,,,,1,,0,,1,,,,0,,0,0,12.0,0,,0,1,0.0,,,,0,,,,0,0,0,0.0,,0,,,1.0,,,,,,0,,,,0,,0,,,0,1,0,0,0,0,0,,,0,0,0.0,1,,,0.0,,Lee,0.0,0,,,,1,,,,1,,0,0,0.0,,,,0,,,,1,3.0,,1,0,,,,0.0,1,0,0,19-23 hrs,,,,,0,,,,,,,0,0,,,,,,1,0,0,,
01M020,,,0.0,,,0,0,0.0,1.0,0,1.0,0,4.0,,1,0,,3.0,0,0,,1.0,1,0,0.0,,,0,0,0,,0,1.0,,,0,0,24-30 hrs,0,,0,0,0,,,0,5.0,0,0,0,0,0.0,,,1.0,0,0,0,0.0,0,1.0,0,1,0,,1,,,,1.0,0,1.0,1.0,,0,0,,0,0.0,0,,0,1,4.0,0,0,0.0,1.0,0.0,0,0.0,0,,1.0,1.0,1,,0,,1,1.0,,,0,,0,0,20.0,0,,0,1,0.0,1.0,,,0,,,,1,0,0,,,0,,,5.0,,,,,1.0,0,,,,0,,0,,1.0,0,0,0,1,0,0,0,,,0,0,,1,,0.0,,,Carrie,,0,1.0,,0.0,0,,1.0,,1,1.0,0,0,3.0,,,0.0,0,,1.0,,0,7.0,2.0,0,0,1.0,,,0.0,0,0,0,19-23 hrs,,1.0,,,0,,0.0,1.0,1.0,,,0,0,,,,,,0,0,0,,
08X519,,,,,,0,0,,,0,,0,0.0,,1,0,,0.0,0,0,Educational Alchemy,,0,0,,,,0,0,0,,0,,,,0,0,31+ hrs,0,,0,0,0,,,0,1.0,0,0,0,0,0.0,,,,0,0,0,,0,1.0,0,0,0,,0,,,,,0,,0.0,,0,0,,0,,0,,0,0,0.0,0,0,,,,0,,0,,,,0,,0,,1,,,,0,,0,0,2.0,0,,0,0,1.0,,,,0,,,,0,0,0,0.0,,1,,,0.0,,,,,,0,,,,0,,0,,,0,0,0,0,0,0,0,,,0,0,0.0,1,,,0.0,,Cheryle,,0,,,,0,,,,1,,0,0,0.0,,,,0,,,,0,0.0,,0,0,,,,0.0,0,0,0,,,,,,0,,,,,,,0,0,,,,,,1,0,0,,
10X442,,,,,,0,0,,,0,,0,0.0,,1,0,1-6 hrs,0.0,0,0,,,0,0,,,,0,0,0,,0,,,,0,0,0 hrs,0,,0,0,0,,,0,1.0,0,0,0,0,0.0,,,,0,0,0,,0,0.0,0,0,0,,0,,,,,0,,0.0,,0,1,,0,,0,,0,0,4.0,0,0,,,,1,,0,,,,1,,0,,1,,,,0,,0,0,20.0,0,,0,1,1.0,,,,0,,,,0,0,0,0.0,,1,,,6.0,,,,,,0,,,,0,,0,,,0,0,0,0,0,0,0,,,0,0,0.0,1,,,0.0,,David,,1,,,,1,,,,0,,0,1,0.0,,,,0,,,,0,12.0,,0,0,,,,4.0,0,0,0,13-18 hrs,,,,,0,,,,,,,1,1,,,,,,0,0,0,,
02M003,,,9.0,,,0,0,0.0,0.0,0,40.0,0,0.0,,0,0,,20.0,0,0,,25.0,0,0,0.0,,,0,0,0,,0,0.0,,,1,0,,0,,0,0,0,24.0,0.0,0,0.0,0,0,0,0,,,,18.0,0,0,0,0.0,0,0.0,0,0,0,,1,,40.0,,4.0,0,25.0,1.0,0.0,1,1,12.0,0,8.0,0,,0,1,0.0,0,0,40.0,8.0,8.0,0,0.0,0,,6.0,0.0,1,,0,40.0,1,8.0,,,0,,0,0,2.0,0,,0,1,0.0,40.0,4.0,,1,,,,0,0,1,,,0,,,2.0,,,40.0,,4.0,0,,,,0,,0,,80.0,0,1,0,1,0,0,0,,,0,1,0.0,1,,40.0,,,LISA,,1,0.0,,1.0,0,40.0,4.0,,0,8.0,0,0,4.0,,,1.0,1,,41.0,,0,10.0,0.0,0,0,3.0,1.0,55.0,0.0,1,0,1,,,40.0,,,0,,0.0,2.0,12.0,,,0,1,0.0,,,,,0,0,0,19.0,8.0
21K559,,,,,,chaperoning on arts and culture related excursions,0,,,0,,0,1.0,,1,0,0 hrs,,0,0,,,0,0,,,,0,0,0,,0,,,,0,0,1-6 hrs,0,,0,0,0,,,0,2.0,0,0,0,0,,,,,0,0,0,,0,2.0,0,1,0,,1,,,,,0,,1.0,,1,0,,0,,0,,0,1,1.0,0,0,,,,0,,0,,,,1,,0,,0,,,,0,,0,0,2.0,0,,0,1,2.0,,,,0,,,,0,0,0,0.0,,0,,,,,,,,,0,,,,0,,1,,,0,1,0,1,0,0,0,,,0,0,2.0,1,,,1.0,,William,,1,,,,0,,,,1,,0,1,1.0,,,,0,,,,0,,,0,0,,,,1.0,0,0,0,1-6 hrs,,,,,0,,,,,,,0,1,,1-6 hrs,,,,1,0,0,,
17K539,,,,,,0,0,,,0,,0,,,1,0,,,0,0,,,0,0,,,,0,0,0,,0,,,,0,0,31+ hrs,0,,0,0,0,,,0,1.0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,1,,,,,0,,,,1,0,,0,,0,,0,1,,0,0,,,,1,,0,,,,1,,0,,0,,,,0,,0,0,,0,,0,0,,,,,0,,,,0,0,0,,,0,,,,,,,,,0,,,,0,,0,,,0,0,0,0,0,0,0,,,0,0,,1,,,,,Judy,,0,,,,1,,,,0,,0,0,,,,,0,,,,0,,,0,0,,,,0.0,0,0,0,,,,,,0,,,,,,,0,0,,,,,,0,0,0,,
16K455,,,,,,0,0,,,0,,0,0.0,,1,0,,1.0,0,0,,,0,0,,,,0,0,0,,0,,,,0,0,1-6 hrs,0,,0,0,0,,,0,1.0,0,0,0,0,0.0,,,,0,0,0,,0,0.0,0,0,0,,1,,,,,0,,0.0,,1,0,,0,,0,,0,1,0.0,0,0,,,,1,,0,,,,1,,0,,1,,,,0,,0,0,3.0,0,,0,0,0.0,,,,0,,,,0,0,0,0.0,,0,,,0.0,,,,,,0,,,,0,,0,,,0,1,0,0,0,0,0,,,0,0,0.0,1,,,0.0,,Donald,,0,,,,1,,,,1,,0,0,0.0,,,,0,,,,0,0.0,,0,0,,,,0.0,0,0,0,,,,,,0,,,,,,,0,0,,,,,,0,0,0,,
02M308,,,,,,0,0,,,0,,0,1.0,24-30 hrs,0,0,,2.0,0,0,,,0,0,,,,0,0,0,,0,,,,0,0,31+ hrs,0,,0,0,0,,,0,1.0,0,0,0,0,,,,,0,0,0,,0,0.0,0,0,0,,1,,,,,0,,3.0,,1,1,,0,,0,,0,1,1.0,0,0,,,,0,,0,,,,1,,0,,1,,,,0,,0,0,25.0,0,,0,1,0.0,,,,0,,,,0,0,0,0.0,,0,,,3.0,,,,,,0,,,,0,,0,,,0,1,0,1,0,0,0,,,0,0,0.0,1,,,0.0,,Yetta,,0,,,,0,,,,0,,0,0,2.0,,,,0,,,,0,2.0,,0,0,,,,0.0,1,0,0,13-18 hrs,,,,,0,,,,,,,0,0,,,,,,1,0,0,,
22K203,,,3.0,,,art related trips,0,,2.0,0,,0,0.0,24-30 hrs,1,0,,10.0,0,1,,2.0,1,0,3.0,,,0,0,0,,0,2.0,,,0,0,31+ hrs,0,,0,0,0,2.0,,0,1.0,0,0,0,0,3.0,,2.0,2.0,0,0,0,3.0,1,0.0,0,0,0,,1,,,,2.0,0,2.0,8.0,,0,0,,0,3.0,0,2.0,0,1,1.0,0,0,2.0,2.0,3.0,1,2.0,0,,2.0,,1,,0,,1,2.0,,,0,,0,0,30.0,0,,0,1,0.0,2.0,2.0,,1,,,,0,0,0,0.0,,0,3.0,,3.0,,,,,2.0,0,,,,0,,0,,2.0,0,0,0,1,0,0,0,,,0,1,0.0,1,,,0.0,,Dana,,0,2.0,,3.0,1,,2.0,,1,2.0,0,0,0.0,,,3.0,1,,2.0,,0,16.0,2.0,0,0,3.0,,3.0,0.0,0,0,1,24-30 hrs,2.0,2.0,,,0,,3.0,2.0,2.0,,,0,0,,,,,,1,0,1,,
11X355,,,,,,0,0,,,0,,0,0.0,,1,0,,2.0,0,0,,,0,0,,0.0,,0,0,0,,0,,,,0,0,,0,,0,0,0,,,0,0.0,0,0,0,0,0.0,,,,0,0,0,,0,0.0,0,0,0,,0,,,,,0,,0.0,,1,0,,0,,0,,0,0,0.0,1,0,,,,0,,0,,,,0,,0,,1,,,,0,,0,0,35.0,0,,0,1,0.0,,,,0,,,,0,0,0,0.0,,1,,,0.0,,,,,,0,,,,0,,0,,,0,0,0,0,0,0,0,,,0,0,0.0,0,,,25.0,,,0.0,0,,,,0,,,,1,,0,0,2.0,,,,0,,,,1,2.0,,1,0,,,,0.0,1,0,0,,,,,,0,,,,,,,0,0,,1-6 hrs,,,,0,0,0,,
22K255,,,0.0,0.0,,"Fundraising, accompanying classes on museum trips",0,10.0,2.0,0,0.0,0,25.0,31+ hrs,0,0,,30.0,0,0,,2.0,1,0,5.0,,,0,0,0,,0,0.0,0.0,,0,0,31+ hrs,0,,0,0,0,0.0,,0,2.0,0,0,0,1,0.0,,0.0,0.0,0,0,0,0.0,0,25.0,0,0,0,,1,0.0,,,10.0,0,2.0,30.0,,1,1,,0,5.0,0,0.0,0,1,1.0,0,0,0.0,2.0,5.0,0,10.0,0,,2.0,0.0,1,,0,,0,2.0,,,0,,0,0,10.0,0,,0,1,25.0,0.0,10.0,,0,,,,0,0,1,0.0,,0,0.0,,0.0,,,,,10.0,0,,,,0,,0,0.0,0.0,0,1,0,0,0,1,0,,,0,0,0.0,1,,0.0,0.0,,Miriam,,0,0.0,,0.0,0,,10.0,,0,2.0,0,0,1.0,,,0.0,0,,0.0,,0,30.0,0.0,0,0,0.0,,0.0,0.0,0,0,0,31+ hrs,0.0,0.0,,0.0,0,,0.0,2.0,2.0,,,0,1,,,2.0,,,1,0,1,,2.0
21K153,,,0.0,,,0,0,,,0,,0,5.0,7-12 hrs,1,0,,1.0,0,0,,0.0,0,0,0.0,,,1,0,0,,0,0.0,,,0,0,0 hrs,0,,1,0,0,,,0,1.0,0,0,0,0,0.0,,,0.0,0,0,0,0.0,0,3.0,0,1,0,,1,,,,0.0,0,0.0,1.0,,0,0,,0,0.0,0,,1,0,1.0,0,0,0.0,0.0,0.0,1,0.0,0,,0.0,,0,,0,,1,0.0,,,0,,0,0,36.0,0,,0,0,,0.0,,,0,,,,0,0,1,0.0,,1,,,1.0,,,,,0.0,0,,,,0,,0,,0.0,1,0,0,0,0,0,0,,,0,0,0.0,1,,,0.0,,Maria,,0,0.0,,0.0,1,,0.0,,1,0.0,0,0,1.0,,,0.0,1,,0.0,,0,1.0,0.0,0,0,0.0,,,0.0,0,0,1,0 hrs,,0.0,,,0,,0.0,0.0,0.0,,,1,0,,,,,,1,0,0,,
14K110,,,,,,0,0,,,0,,0,0.0,,1,0,,7.0,0,0,,,0,0,10.0,,,0,0,0,,0,9.0,,,0,0,,0,,0,0,0,,,0,0.0,0,0,0,1,0.0,,,10.0,0,0,0,0.0,0,0.0,0,0,0,,1,,,,,0,0.0,5.0,,0,0,,0,10.0,0,,0,1,1.0,0,0,,0.0,,1,,0,,0.0,,1,,0,,1,,,,0,,0,0,10.0,0,,0,0,0.0,,,,1,,,,0,0,0,0.0,,0,,,2.0,,,,,,0,,,,0,,0,,0.0,0,0,0,1,0,0,0,,,0,1,0.0,0,,,0.0,,Dana,,0,9.0,,,1,,17.0,,1,0.0,0,0,2.0,,,10.0,0,,0.0,,0,5.0,,0,0,,,,0.0,0,0,0,1-6 hrs,,10.0,,,0,,0.0,0.0,0.0,,,0,0,,,,,,0,0,0,,
12X098,,,,,,0,0,,,0,,0,1.0,,1,0,,2.0,0,0,Sports and Arts in Schools Foundation,,0,0,,81.0,,0,0,0,,0,,,,0,0,7-12 hrs,0,,0,0,0,,,0,1.0,0,0,0,0,0.0,,,,0,0,0,,0,0.0,0,0,0,,1,,,,,0,,10.0,,1,0,,0,,0,,0,1,1.0,1,0,,,,1,,0,,,,1,,0,,1,,,,0,,0,0,120.0,0,,0,0,2.0,,,,0,,,,0,0,0,0.0,,0,,,0.0,,,,,,0,,,,0,,0,,,0,0,0,1,0,0,0,,,0,0,0.0,1,,,0.0,,Sean,0.0,0,,,,1,,,,1,,0,0,0.0,,,,0,,,,1,0.0,,1,0,,,,1.0,0,0,0,31+ hrs,,,,,0,,,,,,,0,1,,,,,,1,0,0,,
10X264,,,,,,0,0,,,0,,0,0.0,,1,0,,0.0,0,0,,,0,0,,,,0,0,0,,0,,,,0,0,13-18 hrs,0,,0,0,0,,,0,1.0,0,0,0,0,,,,,0,0,0,,0,0.0,0,0,0,,1,,,,,0,,2.0,,1,0,,0,,0,,0,1,0.0,0,0,,,,1,,0,,,,1,,0,,1,,,,0,,0,0,,0,,0,0,1.0,,,,0,,,,0,0,0,0.0,,0,,,0.0,,,,,,0,,,,0,,0,,,0,0,0,0,0,0,0,,,0,0,0.0,1,,,0.0,,Christopher,,0,,,,1,,,,1,,0,0,0.0,,,,0,,,,0,0.0,,0,0,,,,0.0,0,0,0,,,,,,0,,,,,,,0,0,,,,,,0,0,0,,
10X003,,,,,,0,0,,,0,,0,12.0,,1,0,,1.0,0,0,SOBRO,,0,0,60.0,160.0,,0,0,0,,0,,,,0,0,31+ hrs,0,,0,0,0,,,0,1.0,0,0,0,0,0.0,,,,0,0,0,,0,12.0,0,1,0,,1,,,,60.0,0,,1.0,,0,0,,0,60.0,0,,0,1,0.0,1,0,,130.0,,1,,0,,130.0,,1,,0,,1,,,,0,,0,0,160.0,0,,0,1,12.0,,,,0,,,,1,0,0,0.0,,1,,,0.0,,,,,,0,,,,0,,0,,60.0,0,0,0,0,0,0,0,,,0,0,0.0,1,,,0.0,,Richard,160.0,0,60.0,,60.0,1,,60.0,,1,130.0,0,0,0.0,,,60.0,0,,60.0,,1,1.0,,1,0,,,,0.0,0,0,0,,,60.0,,,1,,60.0,160.0,130.0,,,0,0,,,,,,1,0,0,,
03M243,,,,,,0,0,,,0,,0,1.0,1-6 hrs,1,0,,3.0,0,0,film society of Lincoln Center,1.0,0,0,,2.0,,0,0,0,,0,,,,0,0,7-12 hrs,0,,0,0,0,0.0,,0,1.0,0,0,0,1,0.0,,0.0,,0,0,0,,0,1.0,0,1,0,115.0,1,,,,,0,1.0,6.0,,1,0,,0,,0,,0,1,1.0,1,0,,,,1,,0,,,,1,,0,,1,,,,0,0.0,0,0,20.0,0,,0,1,1.0,,,,1,0.0,0.0,,0,0,0,0.0,,1,,2.0,0.0,,,,,,0,,,,0,,1,,,0,1,1,0,0,0,0,,,0,0,2.0,1,,,0.0,,Suzanne,0.0,0,,,,0,,,,1,,0,0,0.0,,,,0,,,,0,0.0,0.0,1,0,0.0,,0.0,0.0,1,0,0,13-18 hrs,0.0,,,,1,,,1.0,,,,1,1,,,,,,1,0,0,,
03M403,,,,,,0,0,,,0,,0,0.0,,1,0,,0.0,0,0,,,0,0,,,,0,0,0,,0,,,,0,0,,0,,0,0,0,,,0,0.0,0,0,0,0,0.0,,,,0,0,0,,0,0.0,0,0,0,,0,,,,,0,,0.0,,1,0,,0,,0,,0,1,0.0,0,0,,,,0,,0,,,,1,,0,,1,,,,0,,0,0,2.0,0,,0,1,0.0,,,,0,,,,0,0,0,0.0,,0,,,0.0,,,,,,0,,,,0,,0,,,0,1,0,0,0,1,0,,,0,0,0.0,1,,,0.0,,Angel,,0,,,,0,,,,1,,0,0,0.0,,,,0,,,,0,0.0,,0,0,,,,0.0,0,0,0,,,,,,0,,,,,,,0,0,,,,,,0,0,0,,
11X370,,,,,,0,0,,,0,,0,0.0,,1,0,13-18 hrs,2.0,0,0,Stella Adler Studio,,0,0,,30.0,,0,0,0,,0,,,,0,0,,0,,0,0,0,,,0,0.0,0,0,0,0,,,,,0,0,0,,0,1.0,0,1,0,,0,,,,,0,,2.0,,0,0,,0,,0,,0,0,1.0,1,0,,,,0,,0,,,,0,,0,,1,,,,0,,0,0,80.0,0,,0,0,3.0,,,,0,,,,0,0,0,4.0,,1,,,0.0,,,,,,0,,,,0,,0,,,0,0,0,0,0,0,0,,,0,0,0.0,1,,,0.0,,Sean,50.0,0,,,,0,,,,1,,0,0,0.0,,,,0,,,,1,1.0,,1,0,,,,0.0,1,0,0,19-23 hrs,,,,,0,,,,,,,1,1,,,,,,1,0,0,,
19K346,,,0.0,0.0,,0,0,0.0,0.0,0,0.0,0,,24-30 hrs,0,0,,3.0,0,0,,0.0,0,0,0.0,,,0,0,0,,0,0.0,0.0,,0,0,31+ hrs,0,,0,0,0,0.0,,0,1.0,0,0,0,1,0.0,,,0.0,0,0,0,0.0,0,,0,0,0,,0,,,,0.0,0,0.0,0.0,,0,0,,0,0.0,0,,0,0,1.0,0,0,0.0,0.0,0.0,1,0.0,0,,0.0,0.0,1,,0,,1,0.0,,,0,,0,0,3.0,0,,0,1,,0.0,,,0,,,,0,0,0,0.0,,0,,,0.0,,,,,0.0,0,,,,0,,0,0.0,0.0,0,0,0,0,0,0,0,,,0,0,0.0,0,,0.0,0.0,,Brittni,,0,0.0,,0.0,1,,0.0,,1,0.0,0,0,0.0,,,0.0,0,,0.0,,0,3.0,0.0,0,0,0.0,,0.0,0.0,0,0,0,24-30 hrs,,0.0,,,0,,0.0,0.0,0.0,,,0,0,,,0.0,,,0,0,0,,
09X170,,,,,,attending family arts workshops,0,,,0,,0,12.0,31+ hrs,0,0,,8.0,0,0,,,0,0,11.0,,,0,0,0,,0,0.0,,,0,0,24-30 hrs,0,,0,0,0,,,0,1.0,0,0,0,0,0.0,,,23.0,0,0,0,11.0,0,12.0,0,0,0,,1,,,,,0,,1.0,,1,1,,0,11.0,0,,0,1,,0,0,,11.0,11.0,1,,0,,11.0,,1,,0,,1,11.0,,,0,,0,0,23.0,0,,0,1,0.0,23.0,,,0,,,,0,0,0,0.0,,0,,,0.0,,,,,,0,,,,0,,0,,90.0,0,0,0,1,0,0,0,,,0,0,,0,,,0.0,,Amanda,,1,0.0,,,1,,,,0,,0,0,2.0,,,,1,,,,0,10.0,,0,0,,,,0.0,0,0,0,,,23.0,,,0,,11.0,,11.0,,,0,0,,,,,,1,0,0,,
03M404,,,,,,0,0,,,0,,0,,,1,0,,,0,0,Young Life,,0,0,,,,0,0,0,,0,,,,0,0,,0,,0,0,0,,,0,0.0,0,0,0,0,,,,,0,0,0,,0,1.0,0,0,0,,1,,,,,0,,1.0,,1,0,,0,,0,,0,1,0.0,0,0,,,,0,,0,,,,1,,0,,1,,,,0,,0,0,150.0,0,,0,1,1.0,,,,0,,,,0,0,0,0.0,,1,,,2.0,,,,,,0,,,,0,,0,,,0,1,0,0,0,0,0,,,0,0,0.0,1,,,0.0,,Sean,,1,,,,0,,,,1,,0,0,,,,,0,,,,0,0.0,,0,0,,,,0.0,1,0,0,,,,,,0,,,,,,,1,1,,,,,,0,0,0,,
10X280,,,20.0,,,0,0,,,0,,0,1.0,,0,0,1-6 hrs,0.0,0,0,,50.0,0,0,20.0,50.0,,0,0,0,,0,20.0,,,1,0,,0,,0,0,0,,,0,,0,0,0,0,0.0,,,20.0,0,0,0,20.0,0,3.0,0,1,0,,1,,,,20.0,0,50.0,1.0,,0,0,,0,20.0,0,,0,1,,1,0,20.0,50.0,20.0,1,20.0,0,,50.0,,1,,0,,1,50.0,,,0,,0,0,120.0,0,,0,0,0.0,20.0,,,0,,,,1,0,0,1.0,,0,,,5.0,,,,,20.0,0,,,,0,,0,,20.0,0,0,0,0,0,0,0,,,0,0,,1,,,1.0,,Christina,20.0,0,20.0,,20.0,1,,20.0,,1,50.0,0,1,5.0,,,20.0,0,,20.0,,1,1.0,20.0,1,0,20.0,,,0.0,1,0,0,,,20.0,,,1,,20.0,50.0,50.0,,,0,1,,1-6 hrs,,,,0,0,0,,
09X117,,,,,,0,0,,,0,,0,0.0,13-18 hrs,1,0,,3.0,0,0,,,0,0,,100.0,,0,0,0,,0,,,,0,0,13-18 hrs,0,,0,0,0,,,0,1.0,0,0,0,0,0.0,,,,0,0,0,,0,1.0,0,0,0,,0,,,,,0,,2.0,,1,0,,0,,0,,0,1,,1,0,,,,1,,0,,,,1,,0,,1,,,,0,,0,0,18.0,0,,0,0,0.0,,,,0,,,,1,0,0,0.0,,0,,,0.0,,,,,,0,,,,0,,0,,,0,0,0,0,0,1,0,,,0,0,,1,,,0.0,,Darryl,100.0,0,,,,1,,,,1,,0,0,0.0,,,,0,,,,1,0.0,,1,0,,,,0.0,0,0,0,,,,,,0,,,,,,,0,0,,,,,,0,0,0,,
22K251,,,2.0,,,0,0,3.0,,0,,0,,31+ hrs,1,0,,3.0,0,0,Bureau of Lectures and concerts African drum and dance,2.0,0,0,2.0,,,0,0,0,,0,2.0,,,0,0,31+ hrs,0,,0,0,0,,,0,1.0,0,0,0,0,,,,2.0,0,0,0,2.0,1,,0,0,0,,1,,,,3.0,0,2.0,1.0,,1,0,,0,2.0,0,,0,1,1.0,0,0,2.0,2.0,2.0,1,3.0,0,,2.0,,1,,0,,0,2.0,,,0,,0,0,1.0,0,,0,0,0.0,2.0,,,0,,,,0,0,0,,,1,,,0.0,,,,,3.0,0,,,,0,,0,,2.0,0,0,0,0,0,0,0,,,0,0,,1,,2.0,,,Jessica,,0,2.0,,3.0,1,,3.0,,0,2.0,0,0,1.0,,,2.0,0,,2.0,,0,0.0,2.0,0,0,2.0,,,0.0,0,0,0,31+ hrs,,2.0,,,0,,2.0,2.0,2.0,,,0,0,,,,,,0,0,0,,
